id,ubicacion,cifra,contexto,fuente_archivo,metodo_calculo,fecha_corte,estado,notas
E07-013,pagina-estado Chiapas · tabla,691,amenazas 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_amenazas] fila clave_ent=7. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"0.50% del nacional (138,874 en 32 estados). Aparece en tabla de la página-estado."
E07-014,pagina-estado Chiapas · gráfico serie HD,502/468/475/562/525/419/429/377/500/662/324,Serie homicidio doloso 2015-2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columnas serie_hd_2015..serie_hd_2025 fila clave_ent=7. base estatal única corte abr-2026 (11 años).,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,Min: 324 · Max: 662 · Var %: -51.1% del pico
E07-015,pagina-estado Chiapas · ranking nacional,#28 de 32,Ranking nacional total carpetas 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_total].rank(ascending=False) → posición de clave_ent=7,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E07-016,pagina-estado Chiapas · ranking nacional,#18 de 32,Ranking nacional homicidio doloso 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_hd].rank(ascending=False) → posición de clave_ent=7,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E07-017,pagina-estado Chiapas · ranking nacional,#21 de 32,Ranking nacional extorsión 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_extorsion].rank(ascending=False) → posición de clave_ent=7,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E07-018,pagina-estado Chiapas · ranking nacional,#9 de 32,Ranking nacional feminicidio 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_feminicidio].rank(ascending=False) → posición de clave_ent=7,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E07-019,pagina-estado Chiapas · ranking nacional,#29 de 32,Ranking nacional violencia familiar 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_violencia_familiar].rank(ascending=False) → posición de clave_ent=7,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E07-020,pagina-estado Chiapas · panel RNPDNO,"1,700",RNPDNO desaparecidos activos · Chiapas · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_desaparecidos] fila clave_ent=7. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E07-021,pagina-estado Chiapas · panel RNPDNO,334,RNPDNO no localizados · Chiapas · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_no_localizados] fila clave_ent=7. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E07-022,pagina-estado Chiapas · panel RNPDNO,"7,560",RNPDNO localizados con vida · Chiapas · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_con_vida] fila clave_ent=7. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E07-023,pagina-estado Chiapas · panel RNPDNO,308,RNPDNO localizados sin vida · Chiapas · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_sin_vida] fila clave_ent=7. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E07-024,pagina-estado Chiapas · panel RNPDNO,"2,034",RNPDNO activos totales (desap + no loc) · Chiapas · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total] fila clave_ent=7. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,1.52% del nacional
E07-025,pagina-estado Chiapas · ranking nacional RNPDNO,#20 de 32,Ranking nacional desaparecidos activos · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total].rank(ascending=False) → posición clave_ent=7,2026-06-03,VERIFICADO_AGREGADO,1 = mayor número de activos · 32 = menor
E07-026,pagina-estado Chiapas · KPI 2026 parcial,"2,922",Carpetas SESNSP 2026 parcial (ene-abr) · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_RNID_2026/RNID-Delitos_Estatal-2026-abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2026_parcial_total] fila clave_ent=7. RNID estatal 2026 corte abr-2026 · sum(Enero..Abril) por Clave_Ent · CON desglose por subtipo,2026-04 (corte abr-2026),VERIFICADO_AGREGADO,"0.45% del nacional T1 (652,342). Ritmo anualizado ×3 = 8,766 → -20.5% vs total 2025. Con desglose completo por subtipo (RNID estatal)."
E07-027,pagina-estado Chiapas · denominador tasas,"6,107,903",Población a mitad de año 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"CONAPO pry23 00_Pob_Mitad_1950_2070.csv · sum(POBLACION) WHERE ANIO=2025 AND CVE_GEO=7 (todas edades y sexos). Validado: suma 32 entidades == nacional CVE_GEO=0 (133,367,428 · diff 0)",2025 (proyección pry23),VERIFICADO_AGREGADO,Denominador oficial para todas las tasas /100K del estado
E07-028,pagina-estado Chiapas · KPI tasa,5.3,tasa homicidio doloso por 100K hab 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_hd] (324) / poblacion_2025 (6,107,903) × 100,000 = 5.3",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #28 de 32 (1 = mayor tasa)
E07-029,pagina-estado Chiapas · KPI tasa,0.508,"tasa feminicidio por 100K hab 2025 (poblacion total, declarado) · Chiapas",BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_feminicidio] (31) / poblacion_2025 (6,107,903) × 100,000 = 0.508",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #15 de 32 (1 = mayor tasa)
E07-030,pagina-estado Chiapas · KPI tasa,180.6,tasa total carpetas por 100K hab 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_total] (11,031) / poblacion_2025 (6,107,903) × 100,000 = 180.6",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #31 de 32 (1 = mayor tasa)
E07-031,pagina-estado Chiapas · KPI tasa,33.3,tasa desaparecidos activos por 100K hab · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [rnpdno_activos_total] (2,034) / poblacion_2025 (6,107,903) × 100,000 = 33.3",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #26 de 32 (1 = mayor tasa)
E07-032,pagina-estado Chiapas · KPI tasa,0.196,tasa secuestro por 100K hab 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_secuestro] (12) / poblacion_2025 (6,107,903) × 100,000 = 0.196",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #17 de 32 (1 = mayor tasa)
E07-033,pagina-estado Chiapas · KPI tasa,13.1,tasa violencia familiar por 100K hab 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_violencia_familiar] (802) / poblacion_2025 (6,107,903) × 100,000 = 13.1",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #30 de 32 (1 = mayor tasa)
E07-034,pagina-estado Chiapas · KPI tasa,4.65,tasa violacion (simple+equiparada) por 100K hab 2025 · Chiapas,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_violacion] (284) / poblacion_2025 (6,107,903) × 100,000 = 4.65",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #30 de 32 (1 = mayor tasa)
E08-001,pagina-estado Chihuahua · KPI,"73,861",total carpetas SESNSP 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_total] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"3.66% del nacional (2,016,723 en 32 estados). Aparece en KPI de la página-estado."
E08-002,pagina-estado Chihuahua · KPI,"1,490",homicidio doloso 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_hd] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"7.45% del nacional (19,987 en 32 estados). Aparece en KPI de la página-estado."
E08-003,pagina-estado Chihuahua · tabla,316,homicidio culposo 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_hc] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"1.86% del nacional (16,945 en 32 estados). Aparece en tabla de la página-estado."
E08-004,pagina-estado Chihuahua · KPI,45,feminicidio 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_feminicidio] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,6.33% del nacional (711 en 32 estados). Aparece en KPI de la página-estado.
E08-005,pagina-estado Chihuahua · KPI,10,extorsión 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_extorsion] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"0.10% del nacional (10,507 en 32 estados). Aparece en KPI de la página-estado."
E08-006,pagina-estado Chihuahua · tabla,73,secuestro 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_secuestro] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,15.73% del nacional (464 en 32 estados). Aparece en tabla de la página-estado.
E08-007,pagina-estado Chihuahua · tabla,"3,801",narcomenudeo 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_narcomenudeo] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"3.65% del nacional (104,207 en 32 estados). Aparece en tabla de la página-estado."
E08-008,pagina-estado Chihuahua · KPI,"14,050",violencia familiar 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_violencia_familiar] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"5.27% del nacional (266,760 en 32 estados). Aparece en KPI de la página-estado."
E08-009,pagina-estado Chihuahua · tabla,"11,624",robo (amplio · incluye allanamiento) 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_robo_amplio] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"2.45% del nacional (474,378 en 32 estados). Aparece en tabla de la página-estado."
E08-010,pagina-estado Chihuahua · tabla,"5,462",lesiones dolosas 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_lesiones_dolosas] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"3.49% del nacional (156,623 en 32 estados). Aparece en tabla de la página-estado."
E08-011,pagina-estado Chihuahua · tabla,"1,865",abuso sexual 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_abuso_sexual] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"5.64% del nacional (33,050 en 32 estados). Aparece en tabla de la página-estado."
E08-012,pagina-estado Chihuahua · tabla,"1,440",violación 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_violacion] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"7.10% del nacional (20,280 en 32 estados). Aparece en tabla de la página-estado."
E08-013,pagina-estado Chihuahua · tabla,"3,580",amenazas 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,"panorama_estatal_32.csv columna [sesnsp_2025_amenazas] fila clave_ent=8. Derivado de groupby(Clave_Ent, Subtipo)['_total'].sum() sobre base estatal 2015-2025 · filtros exactos: ver script _construir_panorama_v3.py",2025-12 (corte abr-2026),VERIFICADO_AGREGADO,"2.58% del nacional (138,874 en 32 estados). Aparece en tabla de la página-estado."
E08-014,pagina-estado Chihuahua · gráfico serie HD,945/1232/1566/1809/2181/2296/2060/1668/1776/1705/1490,Serie homicidio doloso 2015-2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columnas serie_hd_2015..serie_hd_2025 fila clave_ent=8. base estatal única corte abr-2026 (11 años).,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,Min: 945 · Max: 2296 · Var %: -35.1% del pico
E08-015,pagina-estado Chihuahua · ranking nacional,#9 de 32,Ranking nacional total carpetas 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_total].rank(ascending=False) → posición de clave_ent=8,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E08-016,pagina-estado Chihuahua · ranking nacional,#3 de 32,Ranking nacional homicidio doloso 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_hd].rank(ascending=False) → posición de clave_ent=8,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E08-017,pagina-estado Chihuahua · ranking nacional,#31 de 32,Ranking nacional extorsión 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_extorsion].rank(ascending=False) → posición de clave_ent=8,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E08-018,pagina-estado Chihuahua · ranking nacional,#3 de 32,Ranking nacional feminicidio 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_feminicidio].rank(ascending=False) → posición de clave_ent=8,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E08-019,pagina-estado Chihuahua · ranking nacional,#7 de 32,Ranking nacional violencia familiar 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_2015-2025/Estatal-Delitos-2015-2025_abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2025_violencia_familiar].rank(ascending=False) → posición de clave_ent=8,2025-12 (corte abr-2026),VERIFICADO_AGREGADO,1 = mayor incidencia · 32 = menor
E08-020,pagina-estado Chihuahua · panel RNPDNO,"3,475",RNPDNO desaparecidos activos · Chihuahua · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_desaparecidos] fila clave_ent=8. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E08-021,pagina-estado Chihuahua · panel RNPDNO,823,RNPDNO no localizados · Chihuahua · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_no_localizados] fila clave_ent=8. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E08-022,pagina-estado Chihuahua · panel RNPDNO,"9,675",RNPDNO localizados con vida · Chihuahua · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_con_vida] fila clave_ent=8. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E08-023,pagina-estado Chihuahua · panel RNPDNO,"1,031",RNPDNO localizados sin vida · Chihuahua · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_loc_sin_vida] fila clave_ent=8. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,
E08-024,pagina-estado Chihuahua · panel RNPDNO,"4,298",RNPDNO activos totales (desap + no loc) · Chihuahua · al 3-jun-2026,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total] fila clave_ent=8. Mapeo nombre INEGI → alias RNPDNO. Fuente primaria: dashboard oficial post-reforma RNPDNO.,2026-06-03,VERIFICADO_AGREGADO,3.21% del nacional
E08-025,pagina-estado Chihuahua · ranking nacional RNPDNO,#13 de 32,Ranking nacional desaparecidos activos · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + EXCEL - SEGURIDAD MORELOS/NUEVOS REPORTES DESAPARICIONES/activos_por_entidad.csv,panorama_estatal_32.csv columna [rnpdno_activos_total].rank(ascending=False) → posición clave_ent=8,2026-06-03,VERIFICADO_AGREGADO,1 = mayor número de activos · 32 = menor
E08-026,pagina-estado Chihuahua · KPI 2026 parcial,"23,357",Carpetas SESNSP 2026 parcial (ene-abr) · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/delitos_estatales_RNID_2026/RNID-Delitos_Estatal-2026-abr2026.csv,panorama_estatal_32.csv columna [sesnsp_2026_parcial_total] fila clave_ent=8. RNID estatal 2026 corte abr-2026 · sum(Enero..Abril) por Clave_Ent · CON desglose por subtipo,2026-04 (corte abr-2026),VERIFICADO_AGREGADO,"3.58% del nacional T1 (652,342). Ritmo anualizado ×3 = 70,071 → -5.1% vs total 2025. Con desglose completo por subtipo (RNID estatal)."
E08-027,pagina-estado Chihuahua · denominador tasas,"4,043,130",Población a mitad de año 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"CONAPO pry23 00_Pob_Mitad_1950_2070.csv · sum(POBLACION) WHERE ANIO=2025 AND CVE_GEO=8 (todas edades y sexos). Validado: suma 32 entidades == nacional CVE_GEO=0 (133,367,428 · diff 0)",2025 (proyección pry23),VERIFICADO_AGREGADO,Denominador oficial para todas las tasas /100K del estado
E08-028,pagina-estado Chihuahua · KPI tasa,36.85,tasa homicidio doloso por 100K hab 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_hd] (1,490) / poblacion_2025 (4,043,130) × 100,000 = 36.85",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #5 de 32 (1 = mayor tasa)
E08-029,pagina-estado Chihuahua · KPI tasa,1.113,"tasa feminicidio por 100K hab 2025 (poblacion total, declarado) · Chihuahua",BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_feminicidio] (45) / poblacion_2025 (4,043,130) × 100,000 = 1.113",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #4 de 32 (1 = mayor tasa)
E08-030,pagina-estado Chihuahua · KPI tasa,1826.8,tasa total carpetas por 100K hab 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_total] (73,861) / poblacion_2025 (4,043,130) × 100,000 = 1826.8",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #14 de 32 (1 = mayor tasa)
E08-031,pagina-estado Chihuahua · KPI tasa,106.3,tasa desaparecidos activos por 100K hab · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [rnpdno_activos_total] (4,298) / poblacion_2025 (4,043,130) × 100,000 = 106.3",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #14 de 32 (1 = mayor tasa)
E08-032,pagina-estado Chihuahua · KPI tasa,1.806,tasa secuestro por 100K hab 2025 · Chihuahua,BASES_NACIONALES/panorama_estatal_32.csv + BASES_NACIONALES/poblacion_estatal_conapo.csv (CONAPO pry23 · conapo.segob.gob.mx),"panorama [sesnsp_2025_secuestro] (73) / poblacion_2025 (4,043,130) × 100,000 = 1.806",2024,VERIFICADO_AGREGADO,Ranking nacional por tasa: #1 de 32 (1 = mayor tasa)
